idHistory,vehicle_type,vehicle_name,fuel_type,machine_capacity,daily_emission,distance,location,location_address,time_used,time_travel,user_id
2be4f812-81b0-4df2-a831-614e56a15e95,mobil,Suzuki Ertiga,Pertalite,250,805512,1479,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-03-21 00:00:00,120,
0acfb7fb-ada5-4a7a-9f78-72645935c820,sepeda motor,Honda Beat,Pertamax Turbo,2000,806546,36364,sabila snack,"Jalan Randupitu-Gunung Gangsir, Pagar Gunung, Randupitu, Pasuruan Regency, East Java, Indonesia",2023-08-29 00:00:00,159,
f7feef39-033e-4a8b-a186-934365248ccc,mobil,Suzuki Ertiga,Diesel,150,4259071,12174,Universitas Yudharta Pasuruan,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-06-05 00:00:00,153,
d10cec6b-e90d-42ca-aef6-dfd325022df8,sepeda motor,Kawasaki Ninja,Shell Super,1800,3059045,6517,Pakuwon Mall,"Jalan Mayjend. Jonosewojo, Babatan, Surabaya, East Java, Indonesia",2023-06-29 00:00:00,176,
d82fbea0-e18e-4738-8725-c2e765496486,mobil,Toyota Avanza,Shell Super,200,3480107,20097,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-02-20 00:00:00,110,
3582bd09-332d-411d-995f-442b3d39ae1d,mobil,Suzuki Ertiga,Pertalite,100,1402533,42492,Gubeng Railway Station,"Jalan Gubeng Masjid, Airlangga, Surabaya, Jawa Timur, Indonesia",2023-03-30 00:00:00,22,
03b9533b-f9a9-442a-a4e4-452d9256a9a5,mobil,Mitsubishi Pajero,Shell Super,1000,4125181,33469,Jalan Semampir Tengah IIA No.17,"Medokan Semampir, Surabaya, East Java, Indonesia",2023-01-27 00:00:00,66,
2d75ed16-66dc-4333-931a-6450b47c52e6,mobil,Suzuki Ertiga,Diesel,100,3743426,28178,Warkop Pak Min,"Turus, Ternyang, Sumberpucung, Malang Regency, East Java, Indonesia",2023-08-11 00:00:00,106,
07ee02f4-bf33-4e17-92c3-5a9df78c2de7,mobil,Toyota Avanza,Pertalite,1000,2415598,49675,Bebek Kerto Jalibar Kepanjen,"Jalan Raya Pepen, RT.02/RW.01, Pepen, Mojosari, Malang Regency, East Java, Indonesia",2023-08-23 00:00:00,192,
d93060d7-f4dd-416b-b236-bbf7408ab698,sepeda motor,Honda Beat,Diesel,1800,416846,7993,Universitas Negeri Malang,"Jalan Cakrawala, Sumbersari, Malang City, East Java, Indonesia",2023-02-08 00:00:00,91,
3603f57e-bd17-4ffa-b926-5b27f95be08c,mobil,Toyota Avanza,Pertamax Turbo,125,3114633,31135,Universitas Yudharta Pasuruan,"Jl. Yudharta, Kembangkuning, Sengonagun, Pasuruan Regency, East Java, Indonesia",2023-09-16 00:00:00,76,
